dementia_center_id,state,district,address_details,latitude,longitude
192,서울특별시,영등포구,당산로 29길 9,35.17615122,126.8002346
193,서울특별시,영등포구,당산로 29길 9,37.48199097,126.892351
194,서울특별시,영등포구,당산로 29길 9,35.6124995,127.2869773
195,서울특별시,영등포구,당산로 29길 9,35.81584604,127.1433514
196,서울특별시,영등포구,당산로 29길 9,35.18409325,129.0730713
197,서울특별시,영등포구,당산로 29길 9,34.980119,127.583648
198,서울특별시,영등포구,당산로 29길 9,36.996253,127.089193
199,서울특별시,영등포구,당산로 29길 9,37.38589781,126.9329448
200,서울특별시,영등포구,당산로 29길 9,34.99522825,126.7082249
201,서울특별시,영등포구,당산로 29길 9,35.2639061,128.3428857
202,서울특별시,영등포구,당산로 29길 9,35.41608206,127.8842381
203,서울특별시,영등포구,당산로 29길 9,37.1493417,128.2160865
204,서울특별시,영등포구,당산로 29길 9,35.5694483,129.3504562
205,서울특별시,영등포구,당산로 29길 9,35.31740278,128.2554461
206,서울특별시,영등포구,당산로 29길 9,35.45690394,129.176837
207,서울특별시,영등포구,당산로 29길 9,35.15254918,128.9914565
208,서울특별시,영등포구,당산로 29길 9,37.50363121,126.7880203
209,서울특별시,영등포구,당산로 29길 9,35.21607284,127.4617801
210,서울특별시,영등포구,당산로 29길 9,37.36049168,128.388852
211,서울특별시,영등포구,당산로 29길 9,36.22965998,128.5699046
212,서울특별시,영등포구,당산로 29길 9,36.345603,128.6976946
213,서울특별시,영등포구,당산로 29길 9,35.69200624,128.4462105
214,서울특별시,영등포구,당산로 29길 9,37.846002,127.746997
215,서울특별시,영등포구,당산로 29길 9,35.58355486,129.3607258
216,서울특별시,영등포구,당산로 29길 9,36.55003666,128.7588531
217,서울특별시,영등포구,당산로 29길 9,38.37761662,128.4721409
218,서울특별시,영등포구,당산로 29길 9,37.4871296,127.9844504
219,서울특별시,영등포구,당산로 29길 9,34.63833623,126.77571
220,서울특별시,영등포구,당산로 29길 9,34.98010194,127.58361
221,서울특별시,영등포구,당산로 29길 9,35.32470177,126.9807438
222,서울특별시,영등포구,당산로 29길 9,35.27886716,127.2969046
223,서울특별시,영등포구,당산로 29길 9,35.21607284,127.4617801
